DateKey,Year,Month,Quarter,MonthName,MonthYear,Semester,IsYearEnd
201901,2019,1,Q1,January,2019-01,H1,FALSE
201902,2019,2,Q1,February,2019-02,H1,FALSE
201903,2019,3,Q1,March,2019-03,H1,FALSE
201904,2019,4,Q2,April,2019-04,H1,FALSE
201905,2019,5,Q2,May,2019-05,H1,FALSE
201906,2019,6,Q2,June,2019-06,H1,FALSE
201907,2019,7,Q3,July,2019-07,H2,FALSE
201908,2019,8,Q3,August,2019-08,H2,FALSE
201909,2019,9,Q3,September,2019-09,H2,FALSE
201910,2019,10,Q4,October,2019-10,H2,FALSE
201911,2019,11,Q4,November,2019-11,H2,FALSE
201912,2019,12,Q4,December,2019-12,H2,TRUE
202001,2020,1,Q1,January,2020-01,H1,FALSE
202002,2020,2,Q1,February,2020-02,H1,FALSE
202003,2020,3,Q1,March,2020-03,H1,FALSE
202004,2020,4,Q2,April,2020-04,H1,FALSE
202005,2020,5,Q2,May,2020-05,H1,FALSE
202006,2020,6,Q2,June,2020-06,H1,FALSE
202007,2020,7,Q3,July,2020-07,H2,FALSE
202008,2020,8,Q3,August,2020-08,H2,FALSE
202009,2020,9,Q3,September,2020-09,H2,FALSE
202010,2020,10,Q4,October,2020-10,H2,FALSE
202011,2020,11,Q4,November,2020-11,H2,FALSE
202012,2020,12,Q4,December,2020-12,H2,TRUE
202101,2021,1,Q1,January,2021-01,H1,FALSE
202102,2021,2,Q1,February,2021-02,H1,FALSE
202103,2021,3,Q1,March,2021-03,H1,FALSE
202104,2021,4,Q2,April,2021-04,H1,FALSE
202105,2021,5,Q2,May,2021-05,H1,FALSE
202106,2021,6,Q2,June,2021-06,H1,FALSE
202107,2021,7,Q3,July,2021-07,H2,FALSE
202108,2021,8,Q3,August,2021-08,H2,FALSE
202109,2021,9,Q3,September,2021-09,H2,FALSE
202110,2021,10,Q4,October,2021-10,H2,FALSE
202111,2021,11,Q4,November,2021-11,H2,FALSE
202112,2021,12,Q4,December,2021-12,H2,TRUE
202201,2022,1,Q1,January,2022-01,H1,FALSE
202202,2022,2,Q1,February,2022-02,H1,FALSE
202203,2022,3,Q1,March,2022-03,H1,FALSE
202204,2022,4,Q2,April,2022-04,H1,FALSE
202205,2022,5,Q2,May,2022-05,H1,FALSE
202206,2022,6,Q2,June,2022-06,H1,FALSE
202207,2022,7,Q3,July,2022-07,H2,FALSE
202208,2022,8,Q3,August,2022-08,H2,FALSE
202209,2022,9,Q3,September,2022-09,H2,FALSE
202210,2022,10,Q4,October,2022-10,H2,FALSE
202211,2022,11,Q4,November,2022-11,H2,FALSE
202212,2022,12,Q4,December,2022-12,H2,TRUE
202301,2023,1,Q1,January,2023-01,H1,FALSE
202302,2023,2,Q1,February,2023-02,H1,FALSE
202303,2023,3,Q1,March,2023-03,H1,FALSE
202304,2023,4,Q2,April,2023-04,H1,FALSE
202305,2023,5,Q2,May,2023-05,H1,FALSE
202306,2023,6,Q2,June,2023-06,H1,FALSE
202307,2023,7,Q3,July,2023-07,H2,FALSE
202308,2023,8,Q3,August,2023-08,H2,FALSE
202309,2023,9,Q3,September,2023-09,H2,FALSE
202310,2023,10,Q4,October,2023-10,H2,FALSE
202311,2023,11,Q4,November,2023-11,H2,FALSE
202312,2023,12,Q4,December,2023-12,H2,TRUE
202401,2024,1,Q1,January,2024-01,H1,FALSE
202402,2024,2,Q1,February,2024-02,H1,FALSE
202403,2024,3,Q1,March,2024-03,H1,FALSE
202404,2024,4,Q2,April,2024-04,H1,FALSE
202405,2024,5,Q2,May,2024-05,H1,FALSE
202406,2024,6,Q2,June,2024-06,H1,FALSE
202407,2024,7,Q3,July,2024-07,H2,FALSE
202408,2024,8,Q3,August,2024-08,H2,FALSE
202409,2024,9,Q3,September,2024-09,H2,FALSE
202410,2024,10,Q4,October,2024-10,H2,FALSE
202411,2024,11,Q4,November,2024-11,H2,FALSE
202412,2024,12,Q4,December,2024-12,H2,TRUE
